country,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,Continent
Haiti,500000,601000,719000,789000,860000,939000,1040000,1160000,1290000,1440000,1610000,1870000,2200000,2510000,2850000,3220000,3870000,4680000,5640000,7040000,8460000,9950000,11400000,North America
Hungary,3250000,3670000,4130000,4460000,4800000,5160000,5520000,5910000,6250000,6610000,7110000,7600000,7940000,8610000,9220000,9340000,10000000,10400000,10800000,10400000,10200000,9930000,9660000,Europe
Indonesia,16100000,16500000,17200000,18500000,20100000,22000000,24200000,27100000,30100000,33800000,38200000,42800000,47300000,53400000,61800000,69500000,87800000,115000000,147000000,181000000,212000000,242000000,274000000,Asia
India,201000000,205000000,210000000,218000000,227000000,236000000,245000000,255000000,262000000,284000000,292000000,310000000,317000000,348000000,394000000,376000000,451000000,555000000,699000000,873000000,1060000000,1230000000,1380000000,Asia
Ireland,5250000,6110000,7080000,7810000,8220000,6890000,5840000,5410000,5150000,4690000,4430000,4330000,4200000,2960000,2910000,2910000,2790000,2910000,3380000,3510000,3780000,4550000,4940000,Europe
Iran,6000000,6270000,6560000,6860000,7170000,7510000,7990000,8490000,8840000,9230000,10300000,11100000,9620000,12900000,15400000,17100000,21900000,28500000,38700000,56400000,65599999,73800000,84000000,Asia
Iraq,1000000,1050000,1090000,1140000,1200000,1250000,1320000,1620000,1730000,1860000,2420000,2880000,3500000,3980000,4190000,5720000,7290000,9920000,13700000,17400000,23500000,29700000,40200000,Asia
Iceland,61400,61400,61300,59200,57200,59300,66600,69800,71700,71300,77900,87600,97500,108000,121000,143000,176000,204000,228000,255000,280000,320000,341000,Europe
Israel,210000,210000,210000,210000,210000,211000,228000,267000,280000,313000,354000,403000,446000,576000,860000,1260000,2060000,2810000,3700000,4450000,5950000,7350000,8660000,Asia
Italy,19000000,19600000,20200000,21500000,22900000,24500000,26000000,27800000,29400000,31500000,33400000,36100000,37100000,40300000,43800000,46600000,49700000,53500000,56300000,57000000,56700000,59300000,60500000,Europe
Jamaica,300000,347000,397000,389000,379000,400000,442000,502000,582000,644000,726000,813000,870000,1020000,1220000,1400000,1630000,1880000,2160000,2420000,2650000,2810000,2960000,North America
Jordan,200000,208000,218000,242000,269000,297000,277000,257000,260000,265000,272000,297000,216000,256000,270000,481000,933000,1720000,2380000,3570000,5120000,7260000,10200000,Asia
Japan,28000000,29500000,30900000,31300000,31700000,32100000,33100000,34400000,36700000,39800000,43800000,49100000,55300000,63500000,72200000,82800000,93700000,105000000,118000000,125000000,128000000,129000000,126000000,Asia
Kazakhstan,2040000,2040000,2049999,2240000,2450000,2690000,2930000,3210000,3500000,3830000,4179999,4570000,5000000,5480000,6000000,6700000,9930000,13000000,14800000,16399999,14900000,16300000,18800000,Asia
Kenya,2570000,2710000,2860000,3020000,3180000,3350000,3560000,3770000,4040000,4300000,4099999,3800000,3750000,4390000,5060000,6080000,8119999,11300000,16399999,23700000,32000000,42000000,53800000,Africa
Kyrgyz Republic,530000,530000,533000,581000,637000,698000,763000,836000,914000,1000000,1100000,1200000,1310000,1440000,1580000,1740000,2170000,2970000,3610000,4370000,4920000,5420000,6520000,Asia
Cambodia,2089999,2089999,2089999,2140000,2190000,2240000,2290000,2350000,2500000,2680000,2860000,3040000,2930000,2820000,3100000,4430000,5720000,7000000,6690000,8980000,12200000,14300000,16700000,Asia
Kiribati,17900,17900,17900,18800,19700,20700,21600,22600,23600,24700,25900,27100,28300,29700,31200,33000,41200,51100,59300,72400,84400,103000,119000,Oceania
St. Kitts and Nevis,17200,17200,17400,20400,24200,28700,34200,40300,44800,48700,47300,44300,38700,37600,39700,46100,51200,44900,43200,40300,44100,49000,53200,North America
South Korea,9390000,9390000,9400000,9440000,9490000,9550000,9540000,9540000,9480000,9420000,9370000,9520000,11000000,12900000,14600000,19200000,25300000,32200000,38000000,42900000,47400000,49500000,51300000,Asia
Kuwait,81300,81300,81300,81300,81300,81300,81500,82000,87000,92500,98500,105000,114000,124000,135000,153000,269000,744000,1370000,2100000,2049999,2990000,4270000,Asia
Laos,470000,470000,473000,517000,568000,625000,678000,742000,913000,1130000,1380000,1270000,1050000,876000,957000,1680000,2120000,2690000,3260000,4260000,5320000,6250000,7280000,Asia
Lebanon,300000,316000,332000,357000,383000,412000,441000,471000,478000,484000,497000,631000,761000,916000,1100000,1330000,1800000,2300000,2590000,2800000,3840000,4950000,6830000,Asia
Liberia,314000,314000,314000,319000,324000,331000,354000,382000,417000,455000,496000,541000,584000,674000,777000,930000,1120000,1400000,1850000,2080000,2850000,3890000,5060000,Africa
Libya,230000,231000,236000,245000,257000,271000,300000,336000,378000,438000,512000,596000,676000,756000,872000,1120000,1450000,2130000,3220000,4440000,5360000,6200000,6870000,Africa
St. Lucia,24000,24000,24000,24000,24000,24200,27300,32500,39600,43500,51200,51400,54800,62900,73200,82800,89700,104000,118000,138000,157000,174000,184000,North America
Liechtenstein,5800,5800,5830,6230,6690,7180,7720,8300,8930,9600,10300,11100,12100,12200,12900,13800,16500,21300,25900,28800,33200,36000,38100,Europe
Sri Lanka,1750000,1460000,1240000,1480000,1810000,2170000,1970000,2780000,3100000,3460000,4070000,4870000,5520000,6010000,6510000,7970000,9870000,12500000,15000000,17300000,18800000,20300000,21400000,Asia
Lesotho,276000,276000,274000,239000,206000,181000,196000,215000,236000,260000,287000,334000,390000,478000,584000,705000,837000,1030000,1340000,1700000,2029999,2000000,2140000,Africa
Lithuania,779000,779000,786000,902000,1040000,1210000,1400000,1620000,1880000,2180000,2530000,2850000,2290000,2420000,2460000,2570000,2770000,3140000,3430000,3700000,3500000,3120000,2720000,Europe
Luxembourg,127000,127000,129000,168000,180000,193000,202000,199000,209000,212000,235000,258000,269000,297000,300000,296000,315000,340000,364000,382000,436000,508000,626000,Europe
Latvia,591000,591000,596000,695000,818000,962000,1130000,1330000,1560000,1830000,2150000,2450000,1860000,1880000,1930000,1930000,2130000,2380000,2520000,2660000,2380000,2120000,1890000,Europe
Morocco,2500000,2590000,2690000,2740000,2790000,2860000,3150000,3480000,3840000,4250000,4700000,5460000,5800000,6480000,7680000,8990000,12300000,16000000,20000000,24800000,28800000,32299999,36900000,Africa
Monaco,7790,7790,7850,8790,9910,11200,12700,14500,16600,18900,21600,24300,23900,26600,25500,20000,22500,23500,26800,29400,32100,35600,39200,Europe
Moldova,713000,713000,716000,781000,855000,937000,1030000,1120000,1230000,1340000,1470000,1610000,1760000,1930000,2120000,2340000,3000000,3600000,4010000,4370000,4200000,4090000,4030000,Europe
Madagascar,1500000,1590000,1690000,1950000,2270000,2610000,2700000,2760000,2860000,2940000,2740000,2620000,2580000,2960000,3410000,4080000,5100000,6580000,8720000,11600000,15800000,21200000,27700000,Africa
Maldives,42400,42400,42500,45000,47700,50600,53000,55500,58100,60800,63700,66300,64800,72300,78100,73700,89900,116000,158000,223000,279000,366000,541000,Asia
Mexico,5100000,5800000,6520000,6430000,7040000,7690000,8740000,9210000,10300000,11600000,13400000,14700000,14800000,16900000,20200000,27900000,37800000,51500000,67800000,83900000,98900000,114000000,129000000,North America
Marshall Islands,5830,5830,5910,7340,9230,11600,14800,19000,24200,30900,39500,50400,64000,75100,31400,13000,14700,20400,30600,47300,50800,56400,59200,Oceania
North Macedonia,392000,392000,394000,428000,467000,510000,558000,612000,670000,734000,804000,880000,963000,1050000,1150000,1250000,1490000,1720000,1920000,2000000,2029999,2069999,2080000,Europe
Mali,1400000,1400000,1410000,1440000,1470000,1500000,1630000,1760000,1930000,2110000,2340000,2720000,3050000,3490000,3980000,4710000,5260000,5950000,7090000,8450000,10900000,15000000,20300000,Africa
Malta,134000,134000,135000,142000,151000,160000,170000,181000,192000,204000,217000,229000,227000,243000,272000,312000,313000,321000,331000,362000,394000,414000,442000,Europe
Myanmar,6000000,4590000,3570000,3640000,3780000,3930000,4030000,4090000,3780000,6950000,9430000,11000000,12000000,13300000,15200000,17800000,21700000,27300000,34200000,41300000,46700000,50600000,54400000,Asia
Montenegro,127000,127000,128000,148000,173000,202000,236000,275000,321000,374000,436000,502000,475000,445000,416000,395000,487000,520000,581000,615000,614000,624000,628000,Europe
Mongolia,600000,609000,619000,629000,638000,648000,657000,666000,676000,685000,696000,718000,731000,744000,758000,780000,956000,1280000,1690000,2180000,2400000,2720000,3280000,Asia
Mozambique,2000000,2049999,2130000,2760000,3620000,4680000,4710000,4620000,4500000,4480000,4270000,3930000,3780000,4340000,5000000,5960000,7180000,9020000,11600000,13000000,17700000,23500000,31300000,Africa
Mauritania,383000,383000,381000,348000,317000,291000,297000,307000,319000,336000,357000,385000,409000,472000,544000,651000,850000,1150000,1540000,2029999,2630000,3490000,4650000,Africa
Mauritius,59000,77300,87700,93900,117000,183000,311000,332000,361000,373000,375000,374000,382000,399000,426000,493000,660000,826000,966000,1060000,1190000,1250000,1270000,Africa
